epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2822.05,0.80746,0.57314,1.01523,0.78727,0.65252,0.68054,0.5304,1.26581,1.01229,1.28585,0.005842,0.005842,0.005842
44,2887.84,0.80527,0.56704,1.01515,0.82952,0.63287,0.68134,0.54164,1.27054,1.03257,1.2939,0.005743,0.005743,0.005743
45,2953.72,0.79641,0.56336,1.00999,0.65257,0.68682,0.65801,0.53038,1.26652,1.00299,1.30211,0.005644,0.005644,0.005644
46,3020,0.78592,0.55505,1.0065,0.60972,0.68332,0.66821,0.52687,1.26979,1.05714,1.29873,0.005545,0.005545,0.005545
47,3085.59,0.78014,0.54939,1.00487,0.70797,0.64724,0.66426,0.52635,1.25585,1.02844,1.2901,0.005446,0.005446,0.005446
48,3151.06,0.77567,0.54161,0.99899,0.76122,0.64919,0.67765,0.53684,1.25791,1.03907,1.29082,0.005347,0.005347,0.005347
49,3217.05,0.77721,0.54569,1.00482,0.76688,0.63688,0.68848,0.546,1.25446,1.02448,1.29042,0.005248,0.005248,0.005248
50,3283.04,0.76285,0.53496,0.99364,0.62143,0.68883,0.67473,0.53951,1.26067,1.0332,1.29829,0.005149,0.005149,0.005149
51,3348.83,0.76249,0.53857,0.99947,0.85936,0.63984,0.68694,0.55179,1.24873,1.0421,1.29274,0.00505,0.00505,0.00505
52,3414.54,0.75412,0.53208,0.99376,0.87635,0.62862,0.68843,0.54286,1.25247,1.05606,1.29208,0.004951,0.004951,0.004951
53,3480.6,0.75196,0.52643,0.99234,0.73628,0.64033,0.66891,0.53814,1.24604,1.05935,1.28032,0.004852,0.004852,0.004852
54,3546.41,0.74877,0.52231,0.98864,0.85029,0.63914,0.70428,0.57535,1.24865,1.05317,1.29037,0.004753,0.004753,0.004753
55,3612.33,0.74655,0.52067,0.98737,0.85984,0.63307,0.68582,0.54811,1.24108,1.04517,1.27724,0.004654,0.004654,0.004654
56,3678.27,0.736,0.51274,0.98454,0.83464,0.63896,0.67991,0.55175,1.24084,1.03738,1.27679,0.004555,0.004555,0.004555
57,3744.31,0.73189,0.51087,0.98587,0.6404,0.683,0.65647,0.52334,1.25702,1.05316,1.29951,0.004456,0.004456,0.004456
58,3810.16,0.72334,0.50668,0.97905,0.68983,0.66975,0.66543,0.53572,1.2593,1.04028,1.30445,0.004357,0.004357,0.004357
59,3875.23,0.72471,0.50506,0.98196,0.76136,0.63657,0.67222,0.53898,1.27132,1.0615,1.31617,0.004258,0.004258,0.004258
60,3939.48,0.7154,0.49612,0.97548,0.67302,0.69471,0.69849,0.54812,1.27683,1.07735,1.32353,0.004159,0.004159,0.004159
61,4004.14,0.70402,0.49008,0.97264,0.7847,0.62187,0.67167,0.53702,1.26192,1.05988,1.30442,0.00406,0.00406,0.00406
62,4069.07,0.70524,0.48705,0.97047,0.88442,0.60512,0.69373,0.5617,1.25956,1.05475,1.30708,0.003961,0.003961,0.003961
63,4135.11,0.70116,0.48403,0.96969,0.9078,0.61811,0.71881,0.5664,1.25225,1.05029,1.30302,0.003862,0.003862,0.003862
64,4200.29,0.69158,0.48122,0.96706,0.91268,0.6141,0.7028,0.55726,1.25882,1.054,1.30445,0.003763,0.003763,0.003763
65,4266.24,0.69133,0.47836,0.96431,0.8321,0.63894,0.70619,0.56114,1.259,1.05507,1.31061,0.003664,0.003664,0.003664
66,4331.77,0.68521,0.47515,0.96321,0.70354,0.70163,0.71283,0.56105,1.26108,1.06014,1.31215,0.003565,0.003565,0.003565
67,4397.65,0.68203,0.47306,0.96013,0.80834,0.71491,0.72477,0.56921,1.26249,1.0543,1.31602,0.003466,0.003466,0.003466
68,4463.81,0.67965,0.4709,0.96053,0.80734,0.71267,0.72038,0.56853,1.2605,1.06152,1.31518,0.003367,0.003367,0.003367
69,4529.99,0.67033,0.46566,0.95611,0.67941,0.71408,0.69602,0.56147,1.26501,1.07102,1.32003,0.003268,0.003268,0.003268
70,4595.85,0.66454,0.4588,0.95278,0.78206,0.67765,0.69286,0.56194,1.26228,1.069,1.32347,0.003169,0.003169,0.003169
71,4661.68,0.66927,0.46084,0.95489,0.75942,0.69858,0.6931,0.55734,1.26296,1.06837,1.32432,0.00307,0.00307,0.00307
72,4727.49,0.65708,0.45703,0.95376,0.79575,0.64108,0.7,0.56218,1.26522,1.07395,1.32518,0.002971,0.002971,0.002971
73,4793.44,0.65558,0.45465,0.95249,0.75957,0.66052,0.69934,0.56306,1.26099,1.07051,1.32209,0.002872,0.002872,0.002872
74,4859.41,0.64554,0.44461,0.94759,0.69547,0.67528,0.68166,0.55398,1.26315,1.08123,1.3246,0.002773,0.002773,0.002773
75,4924.82,0.64419,0.44209,0.94563,0.71969,0.66208,0.67817,0.55242,1.26816,1.08717,1.32793,0.002674,0.002674,0.002674
76,4988.86,0.63992,0.44047,0.94571,0.65972,0.69185,0.68447,0.56048,1.27193,1.0916,1.33277,0.002575,0.002575,0.002575
77,5053.65,0.63154,0.43459,0.94012,0.69811,0.67217,0.67359,0.5527,1.26675,1.09557,1.32771,0.002476,0.002476,0.002476
78,5118.96,0.62523,0.43133,0.93974,0.69954,0.67117,0.67121,0.55581,1.25968,1.09699,1.32085,0.002377,0.002377,0.002377
79,5184.73,0.62428,0.43062,0.93815,0.7061,0.66912,0.66833,0.55264,1.26229,1.09507,1.32449,0.002278,0.002278,0.002278
80,5250.08,0.61915,0.42733,0.93838,0.73698,0.64669,0.67027,0.55392,1.26645,1.10058,1.32887,0.002179,0.002179,0.002179
81,5314.97,0.61219,0.42294,0.9356,0.74853,0.63879,0.66789,0.55213,1.26733,1.10337,1.33054,0.00208,0.00208,0.00208
82,5380.62,0.61288,0.4232,0.9377,0.73265,0.65693,0.67009,0.55367,1.26589,1.099,1.33351,0.001981,0.001981,0.001981
83,5445.99,0.60739,0.41724,0.93149,0.73313,0.65266,0.67132,0.55347,1.26335,1.09898,1.33248,0.001882,0.001882,0.001882
84,5511.18,0.60474,0.41469,0.93074,0.72768,0.65638,0.67052,0.55249,1.26054,1.09657,1.32993,0.001783,0.001783,0.001783
85,5577.2,0.59875,0.41081,0.92792,0.73155,0.6508,0.67111,0.55508,1.26186,1.10046,1.33133,0.001684,0.001684,0.001684
86,5642.75,0.59341,0.40595,0.92749,0.64562,0.67714,0.66736,0.55163,1.26374,1.10326,1.33289,0.001585,0.001585,0.001585
87,5708.13,0.59231,0.40703,0.92576,0.71928,0.66225,0.67697,0.55768,1.26487,1.10105,1.3339,0.001486,0.001486,0.001486
88,5773.13,0.58338,0.40224,0.92551,0.71971,0.66562,0.677,0.55706,1.26472,1.10365,1.33321,0.001387,0.001387,0.001387
89,5838.18,0.58,0.40044,0.92349,0.71997,0.66637,0.67579,0.55711,1.26683,1.10351,1.33409,0.001288,0.001288,0.001288
90,5902.29,0.57936,0.39988,0.92288,0.7246,0.6642,0.67599,0.5594,1.26804,1.10547,1.33522,0.001189,0.001189,0.001189
91,5978.24,0.5047,0.32336,0.88212,0.75404,0.63782,0.67698,0.56055,1.26625,1.10486,1.33363,0.00109,0.00109,0.00109
92,6042.06,0.48331,0.31282,0.87414,0.77916,0.63233,0.67812,0.56088,1.26642,1.10969,1.33457,0.000991,0.000991,0.000991
93,6106.71,0.48197,0.31237,0.87364,0.784,0.63394,0.67806,0.56211,1.26551,1.11096,1.33424,0.000892,0.000892,0.000892
94,6170.68,0.47298,0.30762,0.87079,0.78227,0.63424,0.67801,0.56562,1.26488,1.11309,1.33552,0.000793,0.000793,0.000793
95,6236.22,0.466,0.30355,0.868,0.78002,0.63448,0.67714,0.56586,1.26469,1.11551,1.33682,0.000694,0.000694,0.000694
96,6301.73,0.46043,0.2994,0.86522,0.7763,0.63473,0.67787,0.56462,1.2647,1.11563,1.33879,0.000595,0.000595,0.000595
97,6367.2,0.45584,0.29647,0.86562,0.75867,0.63498,0.67789,0.56631,1.26369,1.11835,1.33952,0.000496,0.000496,0.000496
98,6432.23,0.45212,0.29394,0.86421,0.7487,0.63625,0.67882,0.57118,1.26218,1.12306,1.33843,0.000397,0.000397,0.000397
99,6497.55,0.44759,0.29174,0.86376,0.73679,0.63916,0.67886,0.57146,1.26113,1.12804,1.33866,0.000298,0.000298,0.000298
100,6562.37,0.44364,0.29023,0.86304,0.73299,0.64187,0.67882,0.56931,1.26125,1.13276,1.34009,0.000199,0.000199,0.000199
