epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,2324.77,0.64347,0.44357,1.25072,0.78227,0.701,0.77627,0.52306,1.02441,0.90574,1.66481,6.3024e-05,6.3024e-05,6.3024e-05
42,2380.1,0.6183,0.40361,1.22161,0.82949,0.67682,0.77231,0.52273,1.01804,0.89194,1.67498,5.70246e-05,5.70246e-05,5.70246e-05
43,2435.52,0.60311,0.39515,1.21504,0.80515,0.70089,0.79442,0.53849,1.01188,0.8592,1.66731,5.10252e-05,5.10252e-05,5.10252e-05
44,2491.23,0.59291,0.37873,1.20509,0.80789,0.72119,0.79316,0.53179,1.00814,0.87049,1.66281,4.50258e-05,4.50258e-05,4.50258e-05
45,2546.57,0.57881,0.3557,1.18981,0.74714,0.75599,0.79071,0.53497,1.00465,0.88283,1.67063,3.90264e-05,3.90264e-05,3.90264e-05
46,2601.83,0.56878,0.34816,1.17637,0.82815,0.712,0.80241,0.5365,1.00979,0.85737,1.67282,3.3027e-05,3.3027e-05,3.3027e-05
47,2657.23,0.55416,0.33963,1.16616,0.81437,0.70912,0.80494,0.5472,1.00735,0.86056,1.67868,2.70276e-05,2.70276e-05,2.70276e-05
48,2712.92,0.54584,0.33749,1.16117,0.80347,0.71841,0.80691,0.54502,1.01124,0.85035,1.69019,2.10282e-05,2.10282e-05,2.10282e-05
49,2768.27,0.5376,0.32315,1.1535,0.79773,0.73191,0.80593,0.54856,0.99689,0.84876,1.67977,1.50288e-05,1.50288e-05,1.50288e-05
50,2823.9,0.52424,0.3171,1.13974,0.8118,0.73385,0.80938,0.54988,1.00188,0.84533,1.68906,9.0294e-06,9.0294e-06,9.0294e-06
