epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,53.7223,0.43587,0.44711,0.9095,0.7344,0.71667,0.94217,0.75311,1.14576,0.9502,1.12276,2.82082e-05,2.82082e-05,2.82082e-05
40,55.167,0.6178,0.58195,1.08214,0.7344,0.71667,0.94217,0.75311,1.14576,0.9502,1.12276,2.84911e-05,2.84911e-05,2.84911e-05
41,56.3007,0.50391,0.47973,0.97251,0.73081,0.71667,0.92046,0.74321,1.15592,0.99874,1.1251,2.87504e-05,2.87504e-05,2.87504e-05
42,57.4005,0.54394,0.51794,0.99379,0.73081,0.71667,0.92046,0.74321,1.15592,0.99874,1.1251,2.89861e-05,2.89861e-05,2.89861e-05
43,58.5956,0.44237,0.40355,1.05294,0.7061,0.71667,0.91946,0.7391,1.16523,1.04176,1.12723,2.91983e-05,2.91983e-05,2.91983e-05
44,59.6869,0.7307,0.74525,1.12441,0.7061,0.71667,0.91946,0.7391,1.16523,1.04176,1.12723,2.93869e-05,2.93869e-05,2.93869e-05
45,60.8482,0.4578,0.60439,1.07622,0.68936,0.71667,0.82185,0.65471,1.17122,1.07663,1.12858,2.9552e-05,2.9552e-05,2.9552e-05
46,61.9666,0.59697,0.60558,0.98831,0.68936,0.71667,0.82185,0.65471,1.17122,1.07663,1.12858,2.96935e-05,2.96935e-05,2.96935e-05
47,63.1526,0.64169,0.70418,1.08478,0.73503,0.72305,0.78431,0.61492,1.1732,1.10002,1.13088,2.98114e-05,2.98114e-05,2.98114e-05
48,64.234,0.50061,0.39571,1.04766,0.73503,0.72305,0.78431,0.61492,1.1732,1.10002,1.13088,2.99058e-05,2.99058e-05,2.99058e-05
49,65.3571,0.42666,0.44619,0.97005,0.75258,0.71748,0.7512,0.58175,1.17812,1.12942,1.13279,2.99766e-05,2.99766e-05,2.99766e-05
50,66.4443,0.47085,0.41586,1.03456,0.75258,0.71748,0.7512,0.58175,1.17812,1.12942,1.13279,3.00238e-05,3.00238e-05,3.00238e-05
51,67.5579,0.59521,0.44557,1.05006,0.76003,0.70983,0.76371,0.58268,1.18091,1.16568,1.13191,3.00475e-05,3.00475e-05,3.00475e-05
52,68.8267,0.53028,0.50917,0.98891,0.76003,0.70983,0.76371,0.58268,1.18091,1.16568,1.13191,3.00476e-05,3.00476e-05,3.00476e-05
53,69.9419,0.41339,0.38552,0.93662,0.76003,0.70983,0.76371,0.58268,1.18091,1.16568,1.13191,3.00242e-05,3.00242e-05,3.00242e-05
54,71.0692,0.43044,0.45456,1.0756,0.78705,0.68869,0.75818,0.59696,1.16175,1.15547,1.1299,2.99772e-05,2.99772e-05,2.99772e-05
55,72.1812,0.40521,0.43066,0.93406,0.78705,0.68869,0.75818,0.59696,1.16175,1.15547,1.1299,2.99066e-05,2.99066e-05,2.99066e-05
56,73.3094,0.47953,0.38641,1.04877,0.78705,0.68869,0.75818,0.59696,1.16175,1.15547,1.1299,2.98125e-05,2.98125e-05,2.98125e-05
57,74.4551,0.46494,0.38682,0.95761,0.78958,0.6809,0.77208,0.59515,1.1328,1.17096,1.12229,2.96948e-05,2.96948e-05,2.96948e-05
58,75.5284,0.49368,0.39158,1.07068,0.78958,0.6809,0.77208,0.59515,1.1328,1.17096,1.12229,2.95535e-05,2.95535e-05,2.95535e-05
59,76.5883,0.53716,0.35194,0.95576,0.78958,0.6809,0.77208,0.59515,1.1328,1.17096,1.12229,2.93887e-05,2.93887e-05,2.93887e-05
60,79.731,0.50925,0.50188,0.99695,0.80713,0.67202,0.77203,0.59992,1.13229,1.17159,1.12532,2.92003e-05,2.92003e-05,2.92003e-05
61,82.4875,0.35318,0.33194,0.83741,0.80713,0.67202,0.77203,0.59992,1.13229,1.17159,1.12532,2.89884e-05,2.89884e-05,2.89884e-05
62,84.269,0.32365,0.30157,0.87727,0.80713,0.67202,0.77203,0.59992,1.13229,1.17159,1.12532,2.87529e-05,2.87529e-05,2.87529e-05
63,85.6536,0.52571,0.61367,1.07823,0.72349,0.75694,0.78601,0.60954,1.12585,1.17248,1.12466,2.84938e-05,2.84938e-05,2.84938e-05
64,86.8645,0.4744,0.33485,1.06973,0.72349,0.75694,0.78601,0.60954,1.12585,1.17248,1.12466,2.82112e-05,2.82112e-05,2.82112e-05
65,87.9628,0.32757,0.28409,0.92643,0.72349,0.75694,0.78601,0.60954,1.12585,1.17248,1.12466,2.7905e-05,2.7905e-05,2.7905e-05
66,89.0873,0.44239,0.49743,0.96375,0.72369,0.75541,0.78607,0.61786,1.09769,1.18151,1.11511,2.75753e-05,2.75753e-05,2.75753e-05
67,90.4173,0.44257,0.39984,0.99881,0.72369,0.75541,0.78607,0.61786,1.09769,1.18151,1.11511,2.7222e-05,2.7222e-05,2.7222e-05
68,91.7941,0.47164,0.38983,0.97759,0.72369,0.75541,0.78607,0.61786,1.09769,1.18151,1.11511,2.68451e-05,2.68451e-05,2.68451e-05
69,92.9199,0.49039,0.3516,0.98576,0.72364,0.74232,0.78443,0.61418,1.08235,1.20049,1.10996,2.64447e-05,2.64447e-05,2.64447e-05
70,93.9972,0.39989,0.32067,0.89149,0.72364,0.74232,0.78443,0.61418,1.08235,1.20049,1.10996,2.60207e-05,2.60207e-05,2.60207e-05
71,95.4251,0.40384,0.30106,0.92425,0.72364,0.74232,0.78443,0.61418,1.08235,1.20049,1.10996,2.55731e-05,2.55731e-05,2.55731e-05
72,96.9663,0.42156,0.34334,0.99189,0.72429,0.73818,0.7845,0.61266,1.09024,1.21932,1.11357,2.5102e-05,2.5102e-05,2.5102e-05
73,98.0732,0.37674,0.33835,0.93328,0.72429,0.73818,0.7845,0.61266,1.09024,1.21932,1.11357,2.46073e-05,2.46073e-05,2.46073e-05
74,99.1711,0.42564,0.31791,1.02956,0.72429,0.73818,0.7845,0.61266,1.09024,1.21932,1.11357,2.40891e-05,2.40891e-05,2.40891e-05
75,100.417,0.39252,0.3745,0.9369,0.7259,0.72476,0.78317,0.61064,1.09856,1.25169,1.1178,2.35472e-05,2.35472e-05,2.35472e-05
76,101.524,0.42583,0.33225,0.96851,0.7259,0.72476,0.78317,0.61064,1.09856,1.25169,1.1178,2.29819e-05,2.29819e-05,2.29819e-05
77,102.73,0.4135,0.41713,0.96382,0.7259,0.72476,0.78317,0.61064,1.09856,1.25169,1.1178,2.23929e-05,2.23929e-05,2.23929e-05
78,103.856,0.47752,0.4034,1.04044,0.72878,0.73287,0.77816,0.61146,1.10025,1.28322,1.12341,2.17805e-05,2.17805e-05,2.17805e-05
79,105.448,0.41251,0.43217,1.01247,0.72878,0.73287,0.77816,0.61146,1.10025,1.28322,1.12341,2.11444e-05,2.11444e-05,2.11444e-05
80,107.661,0.37679,0.32857,0.91617,0.72878,0.73287,0.77816,0.61146,1.10025,1.28322,1.12341,2.04848e-05,2.04848e-05,2.04848e-05
81,109.505,0.3206,0.37942,0.94947,0.73431,0.74942,0.77596,0.60795,1.09518,1.31466,1.12383,1.98016e-05,1.98016e-05,1.98016e-05
82,111.106,0.56309,0.35064,1.17236,0.73431,0.74942,0.77596,0.60795,1.09518,1.31466,1.12383,1.90949e-05,1.90949e-05,1.90949e-05
83,112.783,0.55527,0.37527,1.19426,0.73431,0.74942,0.77596,0.60795,1.09518,1.31466,1.12383,1.83646e-05,1.83646e-05,1.83646e-05
84,113.966,0.40281,0.37297,0.94425,0.73511,0.76614,0.77816,0.60169,1.10372,1.34715,1.13136,1.76107e-05,1.76107e-05,1.76107e-05
85,115.052,0.40577,0.41714,0.98734,0.73511,0.76614,0.77816,0.60169,1.10372,1.34715,1.13136,1.68333e-05,1.68333e-05,1.68333e-05
86,116.226,0.42033,0.47744,0.97126,0.73511,0.76614,0.77816,0.60169,1.10372,1.34715,1.13136,1.60323e-05,1.60323e-05,1.60323e-05
87,117.334,0.72058,0.58904,1.36342,0.73511,0.76614,0.77816,0.60169,1.10372,1.34715,1.13136,1.52077e-05,1.52077e-05,1.52077e-05
88,118.458,0.31737,0.44468,0.90292,0.70671,0.75511,0.77611,0.61215,1.10527,1.37156,1.14142,1.43596e-05,1.43596e-05,1.43596e-05
89,119.577,0.41572,0.4617,1.10756,0.70671,0.75511,0.77611,0.61215,1.10527,1.37156,1.14142,1.34879e-05,1.34879e-05,1.34879e-05
90,120.767,0.45246,0.53379,0.98546,0.70671,0.75511,0.77611,0.61215,1.10527,1.37156,1.14142,1.25927e-05,1.25927e-05,1.25927e-05
91,122.286,0.31665,0.29305,0.9096,0.70671,0.75511,0.77611,0.61215,1.10527,1.37156,1.14142,1.16739e-05,1.16739e-05,1.16739e-05
92,123.428,0.31122,0.23193,0.9703,0.73614,0.76642,0.77826,0.61196,1.10441,1.37867,1.14062,1.07315e-05,1.07315e-05,1.07315e-05
93,124.54,0.31616,0.25624,0.82819,0.73614,0.76642,0.77826,0.61196,1.10441,1.37867,1.14062,9.76562e-06,9.76562e-06,9.76562e-06
94,125.694,0.31409,0.29999,0.87043,0.73614,0.76642,0.77826,0.61196,1.10441,1.37867,1.14062,8.77613e-06,8.77613e-06,8.77613e-06
95,126.824,0.37153,0.29712,0.93661,0.73614,0.76642,0.77826,0.61196,1.10441,1.37867,1.14062,7.76308e-06,7.76308e-06,7.76308e-06
96,128.057,0.29072,0.25941,0.87847,0.7319,0.76655,0.77875,0.60604,1.12824,1.39725,1.14735,6.72648e-06,6.72648e-06,6.72648e-06
97,129.754,0.35742,0.32214,0.93922,0.7319,0.76655,0.77875,0.60604,1.12824,1.39725,1.14735,5.6663e-06,5.6663e-06,5.6663e-06
98,130.882,0.27108,0.23793,0.86637,0.7319,0.76655,0.77875,0.60604,1.12824,1.39725,1.14735,4.58257e-06,4.58257e-06,4.58257e-06
99,132.001,0.33044,0.27352,0.87128,0.7319,0.76655,0.77875,0.60604,1.12824,1.39725,1.14735,3.47528e-06,3.47528e-06,3.47528e-06
100,133.141,0.27297,0.25666,0.83566,0.72625,0.77893,0.77717,0.5979,1.1575,1.41712,1.15093,2.34442e-06,2.34442e-06,2.34442e-06
