loss,val_loss,binary_accuracy,val_binary_accuracy,precision,val_precision,recall,val_recall,auc,val_auc
4.118951320648193,6.368064880371094,0.5479456782341003,0.623348593711853,0.28933340311050415,0.30922311544418335,0.5566718578338623,0.41056910157203674,0.5729058980941772,0.5727061629295349
4.063543319702148,6.3392720222473145,0.5687981843948364,0.5433180928230286,0.3059922456741333,0.2665040194988251,0.5734090805053711,0.47179877758026123,0.6036063432693481,0.5473186373710632
4.046393871307373,5.920907497406006,0.5761698484420776,0.5877159833908081,0.31265538930892944,0.3240600526332855,0.5820958018302917,0.5978150367736816,0.6120956540107727,0.6273478865623474
4.029501438140869,5.797144889831543,0.5800719857215881,0.5947662591934204,0.31601062417030334,0.32928192615509033,0.5856494307518005,0.598831295967102,0.6181212067604065,0.639681339263916
4.023481369018555,5.846468448638916,0.5823091864585876,0.6385289430618286,0.3179077208042145,0.3619197607040405,0.5874810814857483,0.5843495726585388,0.6216155290603638,0.664775550365448
4.0199055671691895,6.248608589172363,0.5838755369186401,0.670985758304596,0.31935858726501465,0.3831266462802887,0.5893566012382507,0.5180386304855347,0.6230043768882751,0.6718996167182922
4.014369964599609,5.798615455627441,0.586331844329834,0.6887068152427673,0.32126250863075256,0.4116138517856598,0.590343713760376,0.5708841681480408,0.6259792447090149,0.7097043991088867
4.009734630584717,5.906530857086182,0.5882486701011658,0.6243013143539429,0.32315102219581604,0.3591459095478058,0.5931406021118164,0.6410061120986938,0.6273103952407837,0.6799166798591614
4.014141082763672,5.509209156036377,0.5864714980125427,0.5370299816131592,0.32131126523017883,0.30754217505455017,0.5900914669036865,0.6806402206420898,0.6266574859619141,0.6385939121246338
4.010689735412598,5.839458465576172,0.5878242254257202,0.6401168704032898,0.32239818572998047,0.3660990595817566,0.5907934308052063,0.6008638143539429,0.6276023983955383,0.6738801002502441
3.9064784049987793,5.310678482055664,0.6015132069587708,0.43864330649375916,0.3374411463737488,0.2733074426651001,0.6186741590499878,0.7507622241973877,0.6622753739356995,0.6066184043884277
3.515791416168213,4.935235023498535,0.6656699180603027,0.6256351470947266,0.39981594681739807,0.37895646691322327,0.6766622066497803,0.778709352016449,0.7468612194061279,0.7495548725128174
2.8853957653045654,3.990100622177124,0.7483268976211548,0.7203379273414612,0.4973720610141754,0.46428024768829346,0.7607980370521545,0.7710874080657959,0.84499192237854,0.8206523060798645
2.2223567962646484,3.459432601928711,0.8208026885986328,0.7758511304855347,0.6024279594421387,0.5357833504676819,0.8300282955169678,0.7741361856460571,0.9125050902366638,0.8615295886993408
1.485932469367981,2.8814218044281006,0.8896036148071289,0.8798272609710693,0.7266342639923096,0.7125623822212219,0.8942461609840393,0.8704268336296082,0.9620839357376099,0.9478174448013306
0.8626588582992554,2.347557544708252,0.941106379032135,0.9078379273414612,0.8402672410011292,0.7721796035766602,0.9434597492218018,0.8955792784690857,0.9871784448623657,0.9621215462684631
0.5172288417816162,1.6288652420043945,0.9679558873176575,0.9465193152427673,0.9105213284492493,0.8706277012825012,0.9666461944580078,0.9232723712921143,0.9947679042816162,0.9824015498161316
0.24185436964035034,1.3636910915374756,0.9855880737304688,0.9569994807243347,0.9581284523010254,0.8897392749786377,0.9853357076644897,0.9451219439506531,0.9984869956970215,0.9873997569084167
